Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Adbert Alzolay (10617668),Adbert Alzolay,10617668,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Oscar De La Cruz (10617671),Oscar De La Cruz,10617671,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Phil Bickford (10617672),Phil Bickford,10617672,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
RP,Corey Knebel (10617675),Corey Knebel,10617675,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,2.53
RP,Taylor Williams (10617682),Taylor Williams,10617682,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,5.28
SP,Jake Stinnett (10617696),Jake Stinnett,10617696,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Thomas Hatch (10617698),Thomas Hatch,10617698,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Marcos Diplan (10617710),Marcos Diplan,10617710,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Kodi Medeiros (10617711),Kodi Medeiros,10617711,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Luis Ortiz (10617715),Luis Ortiz,10617715,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Cody Ponce (10617729),Cody Ponce,10617729,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Nathan Kirby (10617739),Nathan Kirby,10617739,P,4000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
SP,Brendon Little (10617742),Brendon Little,10617742,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Jose Albertos (10617754),Jose Albertos,10617754,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
SP,Alex Lange (10617765),Alex Lange,10617765,P,4000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
RP,Santiago Casilla (10617359),Santiago Casilla,10617359,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,4.96
RP,Chris Smith (10617370),Chris Smith,10617370,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
RP,Yusmeiro Petit (10617374),Yusmeiro Petit,10617374,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,2.65
RP,Tony Sipp (10617383),Tony Sipp,10617383,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,2.07
RP,Ryan Buchter (10617407),Ryan Buchter,10617407,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,2.89
SP,Brett Anderson (10617408),Brett Anderson,10617408,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
RP,Joe Smith (10617411),Joe Smith,10617411,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,1.38
RP,Chris Hatcher (10617413),Chris Hatcher,10617413,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,1.08
RP,Will Harris (10617414),Will Harris,10617414,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,3.04
OF,Josh Reddick (10617417),Josh Reddick,10617417,OF,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,8.38
RP,Hector Rondon (10617421),Hector Rondon,10617421,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,3.28
RP,Liam Hendriks (10617447),Liam Hendriks,10617447,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,-0.54
RP,Danny Coulombe (10617470),Danny Coulombe,10617470,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,1.09
RP,Ken Giles (10617516),Ken Giles,10617516,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,2.06
SP,Raul Alcantara (10617551),Raul Alcantara,10617551,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
RP,Blake Treinen (10617574),Blake Treinen,10617574,P,4000,OAK@HOU 04/29/2018 02:10PM ET,OAK,5.75
RP,Jandel Gustave (10617580),Jandel Gustave,10617580,P,4000,OAK@HOU 04/29/2018 02:10PM ET,HOU,0
